,id_ticket,fecha,id_empleado,id_agente,categoría,tipo,severidad,prioridad,días_resolución,satisfacción,semestre
36,GDLEER-5542655350,2016-10-12,1985.0,3.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
37,GDLEER-5642630998,2016-09-17,1969.0,9.0,Software,Problema,4 - Crítico,0 - Sin Asignar,6.0,1.0,semestre1
38,GDLEER-5742437983,2016-03-08,1978.0,9.0,Software,Problema,2 - Normal,0 - Sin Asignar,7.0,1.0,semestre2
39,GDLEER-5842678281,2016-11-04,208.0,2.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre1
40,GDLEER-6242606897,2016-08-24,859.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
41,GDLEER-6342371191,2016-01-02,439.0,41.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
42,GDLEER-6542472842,2016-04-12,514.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
43,GDLEER-7242378136,2016-01-09,973.0,41.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
44,GDLEER-7242415805,2016-02-15,260.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
45,GDLEER-7342441622,2016-03-12,492.0,36.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
46,GDLEER-7442377755,2016-01-08,1905.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
47,GDLEER-7542412443,2016-02-12,1934.0,24.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
48,GDLEER-7942651554,2016-10-08,955.0,25.0,Software,Problema,2 - Normal,0 - Sin Asignar,9.0,1.0,semestre1
49,GDLEER-8242657344,2016-10-14,564.0,33.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
50,GDLEER-9242649952,2016-10-06,225.0,39.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
51,GDLEER-9342711505,2016-12-07,420.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
52,GDLEET-1142646933,2016-10-03,1523.0,29.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre1
53,GDLEET-1342615230,2016-09-02,133.0,12.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
54,GDLEET-3242634214,2016-09-21,1871.0,32.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
55,GDLEET-3642380865,2016-01-11,906.0,8.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
56,GDLEET-4642626740,2016-09-13,304.0,17.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre1
57,GDLEET-4642637748,2016-09-24,644.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre1
58,GDLEET-5742695359,2016-11-21,1425.0,3.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,17.0,5.0,semestre1
59,GDLEET-6142589667,2016-08-07,146.0,16.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,semestre1
60,GDLEET-6342503137,2016-05-13,133.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,1.0,semestre2
61,GDLEET-7542371023,2016-01-02,1902.0,40.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,1.0,semestre2
62,GDLEET-7542513586,2016-05-23,1958.0,15.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
63,GDLEET-7742629769,2016-09-16,1006.0,47.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre1
64,GDLEET-7842705497,2016-12-01,1659.0,4.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,17.0,5.0,semestre1
65,GDLEET-8142386963,2016-01-17,376.0,39.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre2
66,GDLEET-8342380553,2016-01-11,995.0,25.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
67,GDLEET-8742683735,2016-11-09,1013.0,27.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre1
68,GDLEET-8942397489,2016-01-28,488.0,14.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre2
69,GDLEET-9142564081,2016-07-13,1218.0,10.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,semestre1
70,GDLEET-9342397848,2016-01-28,104.0,48.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
71,GDLEET-9542639332,2016-09-26,93.0,23.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
248,GDLTER-0042529194,2016-06-08,1279.0,31.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,1.0,semestre2
249,GDLTER-0142410420,2016-02-10,1172.0,34.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
250,GDLTER-0142541943,2016-06-20,434.0,29.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
251,GDLTER-0142627596,2016-09-14,1489.0,15.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
252,GDLTER-0242370808,2016-01-01,920.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
253,GDLTER-0342596564,2016-08-14,1196.0,15.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
254,GDLTER-0542396537,2016-01-27,1373.0,5.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
255,GDLTER-0542424093,2016-02-24,1439.0,30.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
256,GDLTER-0542644175,2016-10-01,1577.0,21.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
257,GDLTER-0542692434,2016-11-18,1613.0,24.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
258,GDLTER-0742396324,2016-01-27,172.0,23.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,1.0,semestre2
259,GDLTER-0842706738,2016-12-02,1543.0,37.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre1
260,GDLTER-1042390357,2016-01-21,1845.0,43.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,4.0,semestre2
261,GDLTER-1042574687,2016-07-23,1118.0,26.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
262,GDLTER-1042626044,2016-09-13,434.0,10.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
263,GDLTER-1042706786,2016-12-02,1358.0,47.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
264,GDLTER-1142426744,2016-02-26,784.0,17.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
265,GDLTER-1142504140,2016-05-14,34.0,31.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
266,GDLTER-1142573591,2016-07-22,1519.0,45.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
267,GDLTER-1142611693,2016-08-29,459.0,46.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
268,GDLTER-1242412486,2016-02-12,578.0,34.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
269,GDLTER-1242533158,2016-06-12,1245.0,21.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre2
270,GDLTER-1242699033,2016-11-25,1453.0,30.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
271,GDLTER-1342416237,2016-02-16,1263.0,32.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
272,GDLTER-1342557572,2016-07-06,597.0,15.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
273,GDLTER-1442465113,2016-04-05,11.0,31.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,1.0,semestre2
274,GDLTER-1442557479,2016-07-06,1087.0,14.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,14.0,5.0,semestre1
275,GDLTER-1442562712,2016-07-11,121.0,17.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre1
276,GDLTER-1542389275,2016-01-20,957.0,12.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,15.0,5.0,semestre2
277,GDLTER-1542420847,2016-02-20,664.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
278,GDLTER-1542661611,2016-10-18,291.0,36.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,1.0,semestre1
279,GDLTER-1642467765,2016-04-07,1646.0,47.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
280,GDLTER-1742425067,2016-02-25,1966.0,10.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre2
281,GDLTER-1842441844,2016-03-12,1524.0,38.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre2
282,GDLTER-2042398816,2016-01-29,1321.0,8.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre2
283,GDLTER-2042447851,2016-03-18,1255.0,8.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre2
285,GDLTER-2042496140,2016-05-06,794.0,21.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,1.0,semestre2
286,GDLTER-2042667731,2016-10-24,943.0,17.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
287,GDLTER-2142590424,2016-08-08,612.0,24.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
288,GDLTER-2142630229,2016-09-17,1292.0,32.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
289,GDLTER-2342473884,2016-04-13,678.0,48.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
290,GDLTER-2342488065,2016-04-28,746.0,10.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
291,GDLTER-2342587483,2016-08-05,1818.0,24.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,13.0,5.0,semestre1
292,GDLTER-2342602380,2016-08-20,248.0,43.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,1.0,semestre1
293,GDLTER-2342719889,2016-12-15,1938.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
294,GDLTER-2442378849,2016-01-09,564.0,48.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,14.0,5.0,semestre2
295,GDLTER-2442474316,2016-04-14,1471.0,43.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,4.0,semestre2
296,GDLTER-2442651882,2016-10-08,1478.0,8.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,14.0,5.0,semestre1
298,GDLTER-2642639182,2016-09-26,1188.0,1.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,16.0,5.0,semestre1
299,GDLTER-2742579006,2016-07-28,1770.0,30.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre1
300,GDLTER-2842594335,2016-08-12,773.0,23.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre1
301,GDLTER-2942408860,2016-02-08,756.0,38.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre2
302,GDLTER-3042528433,2016-06-07,363.0,4.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,10.0,1.0,semestre2
303,GDLTER-3042568718,2016-07-17,1061.0,27.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
304,GDLTER-3042698926,2016-11-24,1272.0,29.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
305,GDLTER-3142505842,2016-05-15,934.0,8.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
306,GDLTER-3242386725,2016-01-17,1072.0,17.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
307,GDLTER-3242487626,2016-04-27,1102.0,26.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre2
308,GDLTER-3242489601,2016-04-29,1540.0,16.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
309,GDLTER-3242498568,2016-05-08,1206.0,35.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
310,GDLTER-3242545192,2016-06-24,1829.0,31.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre2
311,GDLTER-3342375034,2016-01-06,1613.0,30.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
312,GDLTER-3342392354,2016-01-23,725.0,23.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
313,GDLTER-3342691092,2016-11-17,1759.0,10.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
314,GDLTER-3442503612,2016-05-13,1951.0,16.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,14.0,5.0,semestre2
315,GDLTER-3542484535,2016-04-24,1423.0,35.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
316,GDLTER-3542502076,2016-05-12,1497.0,40.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,15.0,1.0,semestre2
317,GDLTER-3542698618,2016-11-24,1491.0,16.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,1.0,semestre1
318,GDLTER-3642515550,2016-05-25,1785.0,15.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
319,GDLTER-3842706982,2016-12-02,1858.0,49.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre1
320,GDLTER-4042380194,2016-01-11,1489.0,31.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,1.0,semestre2
321,GDLTER-4142457902,2016-03-28,1730.0,29.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
322,GDLTER-4142633111,2016-09-20,521.0,21.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
323,GDLTER-4242484780,2016-04-24,98.0,47.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre2
324,GDLTER-4242575074,2016-07-24,377.0,10.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre1
325,GDLTER-4242643209,2016-09-30,670.0,32.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
326,GDLTER-4242669541,2016-10-26,1654.0,45.0,Hardware,Solicitud,4 - Crítico,0 - Sin Asignar,8.0,1.0,semestre1
327,GDLTER-4342555881,2016-07-04,388.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
328,GDLTER-4442453624,2016-03-24,1722.0,36.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
329,GDLTER-4442685878,2016-11-11,1787.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre1
330,GDLTER-4542436825,2016-03-07,1852.0,48.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,15.0,5.0,semestre2
331,GDLTER-4542598704,2016-08-16,470.0,7.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
332,GDLTER-4542665769,2016-10-22,136.0,47.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
333,GDLTER-4742735633,2016-12-31,973.0,6.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,1.0,semestre1
334,GDLTER-4842436179,2016-03-07,297.0,11.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,1.0,semestre2
335,GDLTER-4842696065,2016-11-22,686.0,30.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,8.0,5.0,semestre1
336,GDLTER-4942454880,2016-03-25,1098.0,48.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre2
337,GDLTER-4942722410,2016-12-18,951.0,44.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre1
338,GDLTER-5042532798,2016-06-11,749.0,7.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
339,GDLTER-5142533111,2016-06-12,941.0,1.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
340,GDLTER-5242402206,2016-02-02,450.0,22.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,12.0,1.0,semestre2
341,GDLTER-5242412656,2016-02-12,655.0,36.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,1.0,semestre2
342,GDLTER-5242444966,2016-03-15,116.0,19.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,1.0,semestre2
343,GDLTER-5342372667,2016-01-03,1226.0,16.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
344,GDLTER-5342432023,2016-03-03,1502.0,20.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
345,GDLTER-5342713507,2016-12-09,1790.0,15.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,13.0,5.0,semestre1
346,GDLTER-5442652532,2016-10-09,1343.0,45.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,1.0,semestre1
347,GDLTER-5442733137,2016-12-29,623.0,31.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,1.0,semestre1
348,GDLTER-5542522717,2016-06-01,1701.0,37.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre2
349,GDLTER-5542635169,2016-09-22,656.0,21.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,5.0,semestre1
350,GDLTER-5642535644,2016-06-14,834.0,46.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,15.0,5.0,semestre2
352,GDLTER-5742397528,2016-01-28,1842.0,15.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre2
353,GDLTER-5742432773,2016-03-03,377.0,7.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre2
354,GDLTER-5742516578,2016-05-26,717.0,35.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,17.0,5.0,semestre2
355,GDLTER-5742529866,2016-06-08,876.0,18.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,7.0,5.0,semestre2
356,GDLTER-5942481153,2016-04-21,215.0,41.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre2
357,GDLTER-6042457408,2016-03-28,1720.0,14.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre2
358,GDLTER-6042480799,2016-04-20,319.0,17.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre2
359,GDLTER-6042626348,2016-09-13,1884.0,43.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,4.0,semestre1
360,GDLTER-6042720718,2016-12-16,1861.0,27.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,10.0,5.0,semestre1
361,GDLTER-6142597809,2016-08-15,420.0,38.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
362,GDLTER-6142735128,2016-12-31,1532.0,21.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,1.0,semestre1
363,GDLTER-6242384768,2016-01-15,1596.0,17.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,12.0,5.0,semestre2
364,GDLTER-6342393501,2016-01-24,240.0,45.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre2
365,GDLTER-6342418631,2016-02-18,1613.0,6.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,13.0,5.0,semestre2
366,GDLTER-6342484921,2016-04-24,22.0,19.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
367,GDLTER-6342600808,2016-08-18,1010.0,8.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
368,GDLTER-6342715468,2016-12-11,126.0,34.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
369,GDLTER-6342733408,2016-12-29,1260.0,34.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,3.0,5.0,semestre1
370,GDLTER-6442545795,2016-06-24,1049.0,37.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre2
371,GDLTER-6442611063,2016-08-29,936.0,10.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre1
372,GDLTER-6442619275,2016-09-06,477.0,32.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,4.0,5.0,semestre1
373,GDLTER-6542673093,2016-10-30,1859.0,40.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,15.0,5.0,semestre1
374,GDLTER-6542677522,2016-11-03,362.0,45.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,5.0,1.0,semestre1
375,GDLTER-6642403092,2016-02-03,529.0,20.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,6.0,5.0,semestre2
376,GDLTER-6642628354,2016-09-15,295.0,43.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,6.0,1.0,semestre1
377,GDLTER-6942509338,2016-05-19,1313.0,23.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,17.0,5.0,semestre2
378,GDLTER-6942545896,2016-06-24,1029.0,48.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre2
380,GDLTER-7142539777,2016-06-18,1797.0,47.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre2
381,GDLTER-7142654370,2016-10-11,107.0,23.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
382,GDLTER-7142702598,2016-11-28,1459.0,15.0,Hardware,Solicitud,2 - Normal,0 - Sin Asignar,11.0,5.0,semestre1
383,GDLTER-7142722159,2016-12-18,1755.0,11.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,9.0,5.0,semestre1
384,GDLTER-7242693739,2016-11-19,393.0,17.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,2.0,5.0,semestre1
385,GDLTER-7342464955,2016-04-04,1125.0,49.0,Software,Solicitud,2 - Normal,0 - Sin Asignar,13.0,5.0,semestre2
